X,Y,BUILDINGS,USE,MATERIAL,NR_FLOORS,TYPE,VALUE_MIN,VALUE_MAX,PEOPLE_MIN,PEOPLE_MAX,COMMUNE,ADMIN_UNIT,Area,Use_Type,XCOORD,YCOORD,station,x,y
386537.65149577,5151422.070844,_1,Industrial,Masonary_wood,3,MA_3,235358,286522,0,0,Tarvisio,TarvisioB2,341,4,386537.651496,5151422.070844,SIHb,13.5211213116511,46.5068063971146
387517.028456709,5151928.39573896,_2,Apartment_building,Masonary_wood,4,MA_3,1932764,2391048,102.85,103,Tarvisio,TarvisioB2,498,1,387517.028457,5151928.395739,Sem27,13.5337598156007,46.5115259047699
387774.802579782,5151620.74363008,_3,Apartment_building,Concrete_wood,4,RC_4,550747,681336,29.31,29,Tarvisio,TarvisioB2,142,1,387774.80258,5151620.74363,Sem26,13.5371931136206,46.5088010989358
387485.769458834,5152255.93620012,_4,Holiday_apartment,Masonary_wood,2,MA_2,414795,513149,0,19,Tarvisio,TarvisioB2,214,1,387485.769459,5152255.9362,Sem27,13.5332731941359,46.5144674256704
387778.564534382,5151322.47417619,_7,Restaurant,Concrete_wood,2,RC_2,249364,374046,0,0,Tarvisio,TarvisioB1,139,3,387778.564534,5151322.474176,Sem26,13.5373141274526,46.5061183134523
387554.434893413,5151902.70333382,_8,House,Concrete_wood,3,RC_3,799712,989334,7.33,7,Tarvisio,TarvisioB2,275,1,387554.434893,5151902.703334,Sem27,13.5342534693336,46.5113010093059
387584.22739001,5151898.93536318,_9,House,Concrete_wood,3,RC_3,535699,662720,7.33,7,Tarvisio,TarvisioB2,184,1,387584.22739,5151898.935363,Sem27,13.5346426013265,46.5112720855248
387580.396303625,5151872.61421846,_10,House,Concrete_wood,3,RC_3,1681092,2079701,7.33,7,Tarvisio,TarvisioB2,578,1,387580.396304,5151872.614218,Sem27,13.5345990448737,46.5110346453298
387514.312776962,5151894.65621034,_11,House,Brick_masonary,3,MA_3,1427470,1765942,7.33,7,Tarvisio,TarvisioB2,491,1,387514.312777,5151894.65621,Sem27,13.5337325926621,46.5112219105256
387949.519748901,5151434.28683798,_12,House,Concrete_wood,2,RC_2,409685,600044,7.33,7,Tarvisio,TarvisioB1,207,1,387949.519749,5151434.286838,Sem26,13.5395146607643,46.5071527171621
387622.556302469,5151900.00962525,_13,House,Masonary_wood,3,MA_3,453477,561003,7.33,7,Tarvisio,TarvisioB2,156,1,387622.556302,5151900.009625,Sem27,13.5351417987033,46.5112881488899
387612.657229575,5151852.50637342,_14,House,Masonary,3,MA_3,998738,1235552,7.33,7,Tarvisio,TarvisioB2,343,1,387612.65723,5151852.506373,Sem27,13.5350242908895,46.5108591292405
387949.544322167,5151407.49610722,_15,House,Masonary_wood,2,MA_2,484732,709960,7.33,7,Tarvisio,TarvisioB1,245,1,387949.544322,5151407.496107,Sem26,13.5395214375512,46.5069116953655
388186.998979411,5151918.52952162,_16,Apartment_building,Masonary_wood,3,MA_3,794750,983196,42.29,42,Tarvisio,TarvisioB2,273,1,388186.998979,5151918.529522,Sem26,13.542492514747,46.5115487416053
388218.197826609,5151855.19485685,_17,House,Masonary_wood,2,MA_2,325966,403257,7.33,7,Tarvisio,TarvisioB2,168,1,388218.197827,5151855.194857,Sem26,13.5429142953304,46.5109841242464
387194.626104079,5151676.01969901,_18,House,Masonary_wood,2,MA_2,301868,373444,7.33,7,Tarvisio,TarvisioB2,156,1,387194.626104,5151676.019699,SIHb,13.5296198814056,46.509201445026
388549.145230286,5151815.01947269,_19,House,Brick_masonary,3,MA_3,526911,651849,7.33,7,Tarvisio,TarvisioB2,181,1,388549.14523,5151815.019473,Sem26,13.5472364420014,46.5106775455417
388165.637849906,5151896.74717707,_20,Apartment_building,Masonary_wood,3,MA_3,624919,773096,33.26,33,Tarvisio,TarvisioB2,215,1,388165.63785,5151896.747177,Sem26,13.5422194001279,46.5113492262459
388215.489120497,5151885.79755322,_21,House,Masonary_wood,3,MA_3,525654,650294,7.33,7,Tarvisio,TarvisioB2,181,1,388215.48912,5151885.797553,Sem26,13.5428716393305,46.511258995404
388133.392825862,5151648.07777913,_22,Industrial,Concrete_wood,2,RC_2,436562,531466,0,0,Tarvisio,TarvisioB2,949,4,388133.392826,5151648.077779,Sem26,13.5418590607326,46.5091066855426
388216.286665135,5151917.57810875,_23,Apartment_building,Masonary_wood,3,MA_3,840599,1039917,44.73,45,Tarvisio,TarvisioB2,289,1,388216.286665,5151917.578109,Sem26,13.5428743893211,46.5115450454486
387674.121976712,5151888.03746265,_24,House,Masonary_wood,3,MA_3,684132,846348,7.33,7,Tarvisio,TarvisioB2,235,1,387674.121977,5151888.037463,Sem27,13.5358166350815,46.511189045211
388030.107049563,5151833.2980786,_25,House,Masonary_wood,3,MA_3,350269,433322,7.33,7,Tarvisio,TarvisioB2,120,1,388030.10705,5151833.298079,Sem26,13.5404685993781,46.5107558731301
387151.840837325,5151969.08920431,_26,House,Masonary_wood,3,MA_3,715800,885526,7.33,7,Tarvisio,TarvisioB2,246,1,387151.840837,5151969.089204,SIHb,13.5289912309222,46.5118308950419
387089.706400679,5151667.13761065,_27,House,Brick,4,MA_3,954837,1181241,7.33,7,Tarvisio,TarvisioB2,246,1,387089.706401,5151667.137611,SIHb,13.5282549049434,46.5091039507374
387632.247373098,5151854.73189024,_28,House,Concrete_wood,3,RC_3,350520,433633,7.33,7,Tarvisio,TarvisioB2,120,1,387632.247373,5151854.73189,Sem27,13.535279026592,46.5108824211062
387609.72536267,5151902.18332275,_29,House,Concrete_wood,3,RC_3,394242,487722,7.33,7,Tarvisio,TarvisioB2,135,1,387609.725363,5151902.183323,Sem27,13.5349740754475,46.5113055629904
387603.175918017,5152223.38277899,_30,House,Masonary_wood,3,MA_3,566383,700680,7.33,7,Tarvisio,TarvisioB2,195,1,387603.175918,5152223.382779,Sem27,13.5348110583733,46.5141941684879
